iter	Logloss
0	0.6720081877
1	0.6532470252
2	0.6372634137
3	0.6229263627
4	0.6105551738
5	0.5996000945
6	0.5901544722
7	0.5818058854
8	0.5745625275
9	0.5678736082
10	0.5622888716
11	0.5571281033
12	0.552480809
13	0.547980713
14	0.5443886087
15	0.5411477113
16	0.5382154065
17	0.5354087452
18	0.5326057223
19	0.5303714614
20	0.528279741
21	0.5264706829
22	0.5245928776
23	0.5230709464
24	0.5214764334
25	0.5200305178
26	0.5186476726
27	0.5174161149
28	0.516234029
29	0.5151660486
30	0.5142575519
31	0.5133780424
32	0.5126525143
33	0.5119533433
34	0.5111905487
35	0.5104639247
36	0.5099622934
37	0.5093407213
38	0.5086327715
39	0.5081532125
40	0.5075767125
41	0.507160351
42	0.5067660691
43	0.50633298
44	0.5059971652
45	0.5055605622
46	0.5051559587
47	0.5047972645
48	0.5044693388
49	0.504110668
50	0.5038488249
51	0.5036128698
52	0.5033021213
53	0.5030545288
54	0.5027525211
55	0.5024945587
56	0.5022490975
57	0.5020040114
58	0.5017211507
59	0.5015211368
60	0.5012963619
61	0.5010880604
62	0.5008551866
63	0.5006808007
64	0.5005167041
65	0.5003316416
66	0.5001406462
67	0.4999939037
68	0.4998118555
69	0.4996586189
70	0.49949872
71	0.4993163188
72	0.4991396781
73	0.4990145597
74	0.4988711508
75	0.498765856
76	0.4986376115
77	0.498470117
78	0.4983752471
79	0.4982444662
80	0.4981088038
81	0.4980157528
82	0.4978465334
83	0.4977046096
84	0.4976180502
85	0.4974720573
86	0.497350967
87	0.4972272941
88	0.4971133382
89	0.4970011931
90	0.4968648509
91	0.4967601244
92	0.4966248921
93	0.4965083172
94	0.4964053028
95	0.4963281915
96	0.4962150533
97	0.4960907141
98	0.4960115361
99	0.4959305169
100	0.4958274305
101	0.495719846
102	0.4956013305
103	0.4955176951
104	0.4954627768
105	0.4953946712
106	0.4953000486
107	0.4952024864
108	0.4951255919
109	0.4950295078
110	0.4949479806
111	0.494884099
112	0.4947960479
113	0.4947031184
114	0.4946179542
115	0.4945112917
116	0.4944263796
117	0.4943655903
118	0.4943110672
119	0.4942222777
120	0.494153444
121	0.494069811
122	0.4940027487
123	0.4939029386
124	0.4938433522
125	0.4937877503
126	0.4937216989
127	0.4936715131
128	0.493582456
129	0.4934935491
130	0.4933991394
131	0.4933465469
132	0.4932680488
133	0.493218757
134	0.4931620634
135	0.4931178404
136	0.493044694
137	0.4929535564
138	0.4928652941
139	0.4928011244
140	0.4927640977
141	0.4926681744
142	0.4926195262
143	0.4925500897
144	0.4924606636
145	0.4923967023
146	0.4923377112
147	0.4922726871
148	0.4922070397
149	0.4921404253
150	0.4920523006
151	0.4919956914
152	0.4919359741
153	0.4918764677
154	0.4917951553
155	0.4917181849
156	0.491636358
157	0.4915609498
158	0.4915231034
159	0.4914777508
160	0.4914020419
161	0.4913214218
162	0.4912685706
163	0.4911837132
164	0.4911264989
165	0.491093736
166	0.4910397247
167	0.4909663155
168	0.490912666
169	0.4908777374
170	0.4908327351
171	0.4907798806
172	0.4907386278
173	0.4906693458
174	0.4906137315
175	0.4905429302
176	0.4904561419
177	0.4904089331
178	0.4903210631
179	0.4902245414
180	0.490173033
181	0.490129886
182	0.4900355414
183	0.4899902617
184	0.4899366604
185	0.4898930359
186	0.4898203681
187	0.4897507714
188	0.4896781541
189	0.4896126777
190	0.4895687041
191	0.4894737546
192	0.4894076988
193	0.4893743532
194	0.4893273566
195	0.4892390868
196	0.4892087409
197	0.4891220166
198	0.4890491904
199	0.4889786511
200	0.4889154638
201	0.4888272731
202	0.48877051
203	0.4887262577
204	0.4886479213
205	0.4886020021
206	0.4885217493
207	0.4884670559
208	0.4884150971
209	0.4883599981
210	0.4883020325
211	0.4882547776
212	0.4881762871
213	0.4881186371
214	0.4880623268
215	0.4880007579
216	0.4879716547
217	0.4879175896
218	0.4878543052
219	0.4878116757
220	0.487775483
221	0.4877062479
222	0.4876317148
223	0.4875743366
224	0.4875237774
225	0.4874807016
226	0.4873882153
227	0.4873384926
228	0.4872497161
229	0.487171216
230	0.4871007568
231	0.4870467961
232	0.4869902245
233	0.4869477192
234	0.486897622
235	0.4868058899
236	0.4867613218
237	0.4866835266
238	0.4866150029
239	0.4865271254
240	0.4864778539
241	0.4864012168
242	0.4863456475
243	0.4862900745
244	0.4862271605
245	0.4861808766
246	0.4861275802
247	0.4860392258
248	0.4859735767
249	0.4859338264
250	0.4858973791
251	0.4858319284
252	0.4857877729
253	0.4857431743
254	0.4856995669
255	0.4856408882
256	0.48557784
257	0.4855098324
258	0.4854362428
259	0.4853621881
260	0.485326367
261	0.4852458061
262	0.4851928025
263	0.4851433833
264	0.4850945753
265	0.4850405706
266	0.4849962528
267	0.4849473182
268	0.4848655296
269	0.4848192563
270	0.48476448
271	0.4846958576
272	0.48464571
273	0.4845651529
274	0.4844994695
275	0.4844143609
276	0.4843664442
277	0.4842905468
278	0.4842411479
279	0.4841592779
280	0.484112572
281	0.48404086
282	0.4839894256
283	0.4839462187
284	0.4838897167
285	0.4838318738
286	0.4837805652
287	0.4837392805
288	0.4836982093
289	0.4836368693
290	0.4835831082
291	0.4835029031
292	0.4834598295
293	0.483423662
294	0.483378246
295	0.4833322754
296	0.4832788558
297	0.4832230092
298	0.4831729634
299	0.4831315304
300	0.4830577568
301	0.4830185308
302	0.4829616997
303	0.4829174154
304	0.4828668554
305	0.4828131122
306	0.482759152
307	0.4826896567
308	0.4826441154
309	0.4826023865
310	0.4825620525
311	0.4825391728
312	0.4824604373
313	0.4824138408
314	0.4823562793
315	0.4822780976
316	0.4822390638
317	0.4821862235
318	0.4821450575
319	0.4820960134
320	0.4820121636
321	0.4819198044
322	0.4818801656
323	0.4818159579
324	0.4817373534
325	0.4816958903
326	0.4816478698
327	0.4816066252
328	0.4815546542
329	0.4814984487
330	0.4814368384
331	0.4814046986
332	0.4813656631
333	0.4813066807
334	0.4812814467
335	0.4812204223
336	0.481179804
337	0.481117123
338	0.4810669526
339	0.4809848608
340	0.4809234585
341	0.4808514186
342	0.480813097
343	0.4807600311
344	0.4807181173
345	0.4806646828
346	0.4806264535
347	0.480577009
348	0.4805179136
349	0.4804663848
350	0.4804217057
351	0.4803795648
352	0.4803380734
353	0.4802962023
354	0.4802392947
355	0.4802034416
356	0.4801347144
357	0.4800925096
358	0.480036425
359	0.4799694701
360	0.4799356364
361	0.4798899797
362	0.4798430064
363	0.4797881057
364	0.479758906
365	0.4796889666
366	0.4796557254
367	0.479615999
368	0.479542104
369	0.4794912512
370	0.4794575411
371	0.4793874407
372	0.4793706659
373	0.4793038132
374	0.4792627569
375	0.4792193767
376	0.4791583942
377	0.4791221206
378	0.4790738282
379	0.4790150174
380	0.4789829832
381	0.4789265054
382	0.4788892227
383	0.4788232888
384	0.478762946
385	0.47869388
386	0.4786638412
387	0.4785900747
388	0.478546848
389	0.4785083648
390	0.4784500494
391	0.4783844814
392	0.4783740294
393	0.4783371509
394	0.4783108804
395	0.4782692075
396	0.4782218562
397	0.4781752504
398	0.4781398378
399	0.4780963132
400	0.4780558701
401	0.4780004811
402	0.4779411952
403	0.4778820569
404	0.4778652269
405	0.4778428911
406	0.4778256821
407	0.4777728113
408	0.4777203617
409	0.4776749213
410	0.4776413313
411	0.4775779691
412	0.4775401975
413	0.4774877805
414	0.4774351206
415	0.4773829045
416	0.4773398303
417	0.4773067995
418	0.4772345276
419	0.4771753449
420	0.4771208522
421	0.4770905916
422	0.4770552308
423	0.4770179617
424	0.4769704725
425	0.4769243386
426	0.4768803876
427	0.4768203115
428	0.4767881243
429	0.4767364512
430	0.4766909533
431	0.4766460975
432	0.4766277823
433	0.4765913758
434	0.4765322172
435	0.4764837599
436	0.4764567565
437	0.4764244731
438	0.4763599854
439	0.4763122577
440	0.4762374257
441	0.4762149784
442	0.4761623448
443	0.4761185637
444	0.4760868755
445	0.4760183597
446	0.4759683765
447	0.4759175477
448	0.4758443394
449	0.4758310326
450	0.4757996934
451	0.4757276116
452	0.4756885494
453	0.4756328914
454	0.4756075761
455	0.475555121
456	0.4755119375
457	0.4754939606
458	0.4754651739
459	0.475418927
460	0.4753801729
461	0.4753417082
462	0.4753215171
463	0.4752880961
464	0.4752275714
465	0.4751736209
466	0.475135755
467	0.4751108784
468	0.4750712504
469	0.4750285488
470	0.4749806558
471	0.4749251547
472	0.4748885555
473	0.4748461775
474	0.4748044147
475	0.4747365868
476	0.4746747078
477	0.4746130968
478	0.474584612
479	0.4745480605
480	0.4745086802
481	0.4744857676
482	0.474446185
483	0.4743811232
484	0.4743219146
485	0.4742620509
486	0.4742149886
487	0.4741686967
488	0.4741533929
489	0.4740893603
490	0.4740506342
491	0.4740002044
492	0.4739585393
493	0.4739043945
494	0.4738799161
495	0.4738422407
496	0.4737843553
497	0.4737432705
498	0.4736763246
499	0.4736326382
500	0.47358403
501	0.4735239085
502	0.4734669865
503	0.4734314565
504	0.4733852349
505	0.4733641181
506	0.4733281058
507	0.4732907177
508	0.4732258792
509	0.4731903608
510	0.4731179891
511	0.4730856175
512	0.4730592727
513	0.4730216659
514	0.4730017165
515	0.4729758876
516	0.4729405004
517	0.4729136537
518	0.4728849493
519	0.4728236846
520	0.472770316
521	0.4727104887
522	0.4726342297
523	0.4726112784
524	0.4725798585
525	0.4725505201
526	0.472513763
527	0.4724688227
528	0.4723985516
529	0.4723735233
530	0.4723359379
531	0.4723120644
532	0.4722629772
533	0.4722266724
534	0.4721718287
535	0.4721350249
536	0.4721029582
537	0.4720648769
538	0.4720207715
539	0.4720131309
540	0.471971716
541	0.4719158047
542	0.4718450998
543	0.4717974255
544	0.4717614599
545	0.4717133592
546	0.4716617165
547	0.4716311776
548	0.4715806963
549	0.4715393262
550	0.4714982095
551	0.4714439912
552	0.4714036136
553	0.4713706213
554	0.4713216498
555	0.4713107215
556	0.4712278257
557	0.4711852113
558	0.471121766
559	0.4710677743
560	0.4710289112
561	0.4710075855
562	0.4709726915
563	0.4709437897
564	0.4708830428
565	0.4708684477
566	0.470840449
567	0.4708191222
568	0.4707619597
569	0.4707329425
570	0.4706929536
571	0.4706394729
572	0.4706066916
573	0.4705852848
574	0.470545564
575	0.4704915092
576	0.470429382
577	0.4703833598
578	0.470334784
579	0.4702716184
580	0.4702322737
581	0.4701773514
582	0.4701303523
583	0.4700661869
584	0.4700477779
585	0.4700222645
586	0.4699821139
587	0.4699414519
588	0.4698830128
589	0.4698293947
590	0.4698028177
591	0.4697746827
592	0.4697288547
593	0.4696669884
594	0.4696218292
595	0.4695569533
596	0.4695318083
597	0.4694864167
598	0.4694465336
599	0.4693820352
600	0.4693707012
601	0.4693228702
602	0.4692964839
603	0.4692874401
