iter	Passed	Remaining
0	63	63858
1	67	33794
2	71	23729
3	75	18884
4	79	15857
5	83	13872
6	88	12585
7	93	11567
8	97	10683
9	100	9981
10	105	9456
11	109	9020
12	113	8582
13	116	8218
14	120	7898
15	124	7644
16	128	7410
17	132	7215
18	136	7029
19	140	6891
20	144	6719
21	147	6562
22	150	6407
23	155	6309
24	158	6198
25	162	6082
26	166	5986
27	169	5886
28	173	5801
29	176	5719
30	180	5639
31	184	5571
32	187	5499
33	191	5433
34	195	5379
35	198	5322
36	202	5272
37	206	5219
38	209	5168
39	213	5121
40	216	5075
41	220	5033
42	224	4993
43	228	4956
44	231	4917
45	235	4886
46	239	4858
47	243	4826
48	246	4790
49	250	4752
50	253	4718
51	257	4695
52	260	4662
53	264	4633
54	267	4600
55	271	4569
56	274	4545
57	278	4518
58	281	4493
59	285	4472
60	288	4445
61	292	4422
62	295	4400
63	299	4381
64	303	4359
65	306	4338
66	310	4320
67	313	4299
68	317	4282
69	320	4260
70	324	4246
71	328	4231
72	331	4213
73	334	4191
74	338	4178
75	342	4159
76	345	4144
77	349	4135
78	353	4117
79	356	4103
80	359	4084
81	363	4069
82	367	4055
83	370	4039
84	373	4023
85	377	4014
86	381	4002
87	384	3989
88	388	3974
89	392	3964
90	395	3949
91	398	3934
92	402	3922
93	405	3910
94	409	3896
95	412	3884
96	415	3872
97	419	3859
98	422	3848
99	427	3843
100	430	3832
101	433	3819
102	437	3808
103	440	3799
104	444	3788
105	447	3777
106	451	3766
107	454	3757
108	458	3746
109	461	3736
110	465	3728
111	468	3715
112	472	3705
113	475	3695
114	478	3685
115	482	3675
116	485	3667
117	489	3658
118	492	3649
119	496	3640
120	499	3632
121	503	3622
122	506	3614
123	510	3606
124	513	3596
125	517	3588
126	520	3581
127	524	3571
128	528	3565
129	531	3558
130	535	3550
131	539	3544
132	542	3535
133	545	3527
134	549	3518
135	552	3512
136	556	3504
137	560	3499
138	563	3492
139	567	3483
140	570	3477
141	574	3470
142	577	3461
143	580	3453
144	584	3445
145	587	3436
146	591	3431
147	595	3426
148	598	3419
149	601	3411
150	605	3405
151	608	3396
152	612	3388
153	615	3381
154	618	3374
155	623	3372
156	626	3366
